shop_id	uid	order_id	date	amt1	amt2	amt3	pay_type
23	3812473697	14902827668	2018-01-15 18:00:46	223.52	44.83	178.69	2
23	321591433	28518245909	2018-01-12 16:40:44	327.17	21.64	305.53	1
23		50636127475	2018-01-28 21:32:44	322.37	48.87	273.50	1
23	4929652432	16837335579	2018-01-22 10:37:01	102.93	37.69	65.23	4
23	4121910859	55868333780	2018-01-24 19:26:03	523.56	28.07	495.49	4
23		3214036590	2018-01-04 13:32:55	254.21	37.34	216.88	2
23	5113910283	11076751192	2018-01-29 19:18:02	414.16	20.56	393.60	3
23	4010185495	8612147560	2018-01-09 12:02:37	441.23	32.56	408.67	1
23	4220961136	56245839683	2018-01-21 19:02:32	246.51	8.62	237.89	3
23	4120461980	9181837394	2018-01-17 18:35:37	107.99	14.19	93.80	4
23	501131054	47263833796	2018-01-27 14:14:47	161.42	14.17	147.25	3
23		44742434080	2018-01-26 14:13:24	315.73	44.48	271.25	1
