shop_id	uid	order_id	date	amt1	amt2	amt3	pay_type
41	215946591	96808754476	2018-05-24 17:37:13	81.90	29.01	52.89	3
41		80837762177	2018-05-18 13:33:07	453.08	30.94	422.14	1
41	1855923781	48935127791	2018-05-19 12:18:05	370.92	17.58	353.35	4
41		29553698394	2018-05-23 14:54:37	207.60	22.68	184.92	2
41	2596785675	31895831613	2018-05-20 09:51:25	381.03	53.18	327.85	2
41	3326656573	8624691639	2018-05-21 12:08:50	103.54	34.58	68.96	4
41		85816958159	2018-05-23 14:52:52	113.56	51.57	61.98	1
41	630863971	3363922977	2018-05-11 16:21:06	234.71	23.97	210.74	1
41	5865689882	57629256539	2018-05-10 21:21:41	53.74	1.10	52.64	3
41		21626497782	2018-05-28 16:16:45	76.48	53.70	22.78	3
41	134395001	77104313667	2018-05-30 14:39:05	177.00	19.99	157.00	4
41	773437939	42716452153	2018-05-10 21:40:52	531.06	21.49	509.57	4
