2025-09-30 10:54:39,592 - INFO - -------------2025-09-30 10:54:39 开始抓取，预计总页数 2562，预计总条数约 55220，从第 0 页开始-------------
2025-09-30 10:54:40,183 - INFO - 📊 总页数：None, 总记录数：None
2025-09-30 10:54:40,185 - ERROR - ❌ 第 0 页解析/入库失败: list index out of range
2025-09-30 10:54:41,630 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:41,661 - INFO - 新增登记证号：EX20250159
2025-09-30 10:54:42,921 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:44,244 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:45,991 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:46,023 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:54:47,302 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:48,730 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:50,050 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:51,587 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:53,241 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:53,265 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:54:54,839 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:56,707 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:57,900 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:54:59,623 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:01,065 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:01,089 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:55:02,295 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:03,760 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:05,222 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:07,093 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:08,442 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:08,468 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:55:10,382 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:11,725 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:13,578 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:15,419 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:17,030 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:17,055 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:55:18,456 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:19,808 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:20,960 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:22,547 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:24,273 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:24,297 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:55:25,795 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:27,093 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:28,508 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:30,037 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:31,504 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:55:31,529 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:55:33,183 - INFO - 📊 总页数：2562, 总记录数：51225
