ConsumerID,Frequency,Recency,Money
51865,16,23,4188
187302,1,40,893
102805,1,82,4383
183057,1,65,249
108639,7,47,2548
112884,4,130,3237
107050,5,234,5322
125619,8,215,2756
129864,1,351,2950
142599,1,294,209
146844,1,213,99
200037,1,92,99
167382,5,34,535
116442,6,210,1188
184362,1,80,1188
207176,8,8,2241
59668,12,103,2988
179499,1,40,598
8513,1,341,198
139705,1,218,99
173665,1,88,34
25708,1,278,1794
150402,1,329,249
88765,1,368,204
156685,1,337,299
133422,1,304,333
132735,5,19,2990
166695,1,117,299
197830,1,43,777
35503,7,36,3435
193585,1,49,873
176605,1,56,797
103020,1,199,34
153960,1,222,34
183675,1,126,249
83618,1,237,68
170940,1,112,249
32678,1,328,901
149715,1,292,136
163870,1,264,1308
79373,1,315,498
159625,1,209,109
18523,1,338,249
100080,34,14,2602
197312,1,45,4437
150233,4,31,1156
143950,8,95,832
202931,2,25,102
160930,1,186,996
133253,2,341,447
109990,1,137,119
126970,1,141,34
117060,1,129,558
156167,6,30,15559
190714,1,55,1794
177392,2,0,5976
112715,7,271,3421
143432,1,254,109
122207,1,374,102
72921,1,10,427
146675,2,221,1593
81749,2,346,498
133940,1,315,99
126137,3,92,2992
211252,1,45,1494
169589,1,110,249
123512,1,173,3984
35403,3,303,1554
4437,1,74,209
146326,2,86,328
1443,2,320,198
112815,1,290,99
160097,1,236,476
177292,1,178,209
166595,1,118,99
170107,1,91,209
157372,5,28,6783
166864,10,15,2035
48407,8,131,8500
179599,1,49,897
145639,2,15,4803
2130,1,226,99
48825,3,218,747
132904,1,301,299
58317,2,8,1275
136147,10,131,4293
102187,2,267,2232
92277,5,111,2688
167282,1,236,1794
35672,8,224,5897
112197,9,23,4442
190814,3,15,2142
190027,1,40,598
136665,8,0,892
156854,2,17,1638
146157,1,368,996
102287,1,207,209
92795,3,274,597
122894,1,337,249
112984,2,236,2988
102705,1,314,249
147362,3,195,2271
146944,1,210,249
207276,2,8,3946
194790,2,112,498
104056,1,175,3348
139605,2,327,498
129277,1,316,1245
156336,1,264,299
112297,1,175,996
207525,1,173,1116
177810,1,107,209
152091,1,102,209
210465,4,40,3478
153027,4,11,8109
62293,8,40,25904
181368,1,76,209
132217,4,57,3861
176874,1,131,996
106950,2,89,558
170007,1,150,249
200137,3,40,747
113233,5,78,3735
193854,3,3,1225
149197,2,174,2012
130213,1,345,209
142699,1,274,249
15280,10,17,20681
188338,1,48,1295
28015,6,73,2190
193167,5,26,1494
127070,1,176,299
144468,6,225,1181
150133,1,354,1485
59150,3,259,897
201073,1,174,2988
137398,1,367,209
133153,1,348,109
106263,2,356,558
75612,13,11,2937
194103,1,43,777
100498,2,241,2116
22250,1,225,3568
136462,6,265,340
117478,4,313,238
177123,2,171,418
143532,1,215,209
187402,1,48,209
92592,9,202,3018
153860,1,244,34
115855,4,264,884
56628,1,285,249
123761,1,304,198
170840,1,72,119
173147,1,89,578
150920,9,20,3560
173734,1,117,2376
95486,1,337,249
163655,1,266,398
160412,1,186,209
108221,1,201,209
163406,1,149,297
186469,1,159,109
169904,1,130,747
174083,1,104,99
30909,7,16,8525
109157,4,112,1245
149984,1,132,747
197930,2,50,1335
111026,11,244,3855
172798,1,129,299
120518,1,332,2490
150820,1,355,249
118649,1,319,119
193067,1,179,249
