data_shopid,shop_name,recommend_dishes,shop_link,star_score,score_text,price,region,category,desc_addr_txt,reviews,address,biz_time,updated_at
G9B5lBAWimhGRPnh, 北京宜宾招待所(南翠花街店), 红糖冰粉、 粉蒸肉、 宜宾燃抄手, https://www.dianping.com/shop/G9B5lBAWimhGRPnh, 4.3, "口味:4.4 环境:4.3 服务:4.2", ¥108/人, 和平门, 川菜馆, 距地铁2号线和平门站A1西北口步行450m, 33372, 西中胡同28号, 11:00-21:00, 2025-11-13T09:48:01+08:00
l5jXXDwnM5PbZB93, 百花人家(门城水岸店), 火盆石磨豆腐、 烤羊肉串、 大厨功夫鱼, https://www.dianping.com/shop/l5jXXDwnM5PbZB93, 4.7, "口味:4.7 环境:4.7 服务:4.7", ¥93/人, 门头沟城区, 农家菜, , 14901, 西六环与永堤西路交叉口南100米路东, 11:00开始营业, 2025-11-13T10:37:53+08:00
H3SyNUSShP5BYm87, 逗思都吃韩国料理(五道口店), 自制金枪鱼饭团、 奶酪辣鸡、 部队火锅, https://www.dianping.com/shop/H3SyNUSShP5BYm87, 4.3, "口味:4.3 环境:4.2 服务:4.2", ¥84/人, 五道口, 韩式料理, 距地铁15号线清华东路西口站C东南口步行300m, 14445, 王庄路一号清华同方科技广场b座b1层, 11:00-22:00, 2025-11-13T13:36:55+08:00
k6ASsfEU2GWeDmTk, 浩海火烧云傣家菜(京广店), 油焖鸡、 黑三剁、 小锅米线, https://www.dianping.com/shop/k6ASsfEU2GWeDmTk, 4.3, "口味:4.2 环境:4.1 服务:4.2", ¥101/人, 朝阳公园/团结湖, 云南菜|滇菜, 距地铁呼家楼站C2东南口步行140m, 40403, 东三环北路38号院4号楼好世界商场负一层B-16, 11:00-22:00, 2025-11-13T13:37:12+08:00
l7TjgjzVZS6j8830, 南门涮肉(国贸商城店), 麻酱小料、 自制烧饼、 鲜羊肉, https://www.dianping.com/shop/l7TjgjzVZS6j8830, 4.8, "口味:4.8 环境:4.8 服务:4.8 食材:4.9", ¥124/人, 国贸/建外, 老北京火锅, 距地铁10号线国贸站E2西北口步行150m, 16897, 建国门外大街1号国贸商城南区五层SL5009-5011, 10:30-22:30, 2025-11-13T13:37:28+08:00
l4RMiRJoi6FBJ4v4, 铃木食堂(杨梅竹店), 日式牛肉火锅、 杏仁豆腐、 铃木肉饼, https://www.dianping.com/shop/l4RMiRJoi6FBJ4v4, 4.3, "口味:4.4 环境:4.6 服务:4.3 食材:4.7", ¥94/人, 前门/大栅栏, 日本料理, 距地铁2号线前门站C西南口步行800m, 14766, 杨梅竹斜街10-14号, 11:30-14:30、 17:00-21:30, 2025-11-13T13:37:45+08:00
l3AK2xTtKoddz7SD, 四季民福烤鸭店(东四十条店), 酥香嫩烤鸭、 贝勒烤肉、 巧拌豆苗, https://www.dianping.com/shop/l3AK2xTtKoddz7SD, 4.8, "口味:4.9 环境:4.8 服务:4.9", ¥163/人, 东四十条, 烤鸭, 距地铁2号线东四十条地铁站A西北口270m, 34053, 东四十条23号（公交车站西侧）, 10:30-21:30, 2025-11-13T13:38:01+08:00
j6rTOedDbGNsLVFd, Bada kitchen 和风洋食(中关村店), 嫩滑蛋包咖喱饭、 猪肉奶酪紫苏卷、 奶酪厚蛋烧, https://www.dianping.com/shop/j6rTOedDbGNsLVFd, 4.7, "口味:4.7 环境:4.8 服务:4.8 食材:4.8", ¥116/人, 中关村, 日本料理, 距地铁4/10号线海淀黄庄站C1东南口步行620m, 14832, 双榆树北路知春里甲10号商务楼一层, 11:00-13:30、 17:00-20:30, 2025-11-13T13:38:18+08:00
kaXGb95W714S3AK8, 九本居酒屋(亚运村店), 厚切三文鱼、 极上炭烤鳗鱼、 海胆酱焗牛油梨, https://www.dianping.com/shop/kaXGb95W714S3AK8, 4.5, "口味:4.5 环境:4.5 服务:4.5 食材:4.5", ¥158/人, 亚运村, 日本料理, 距地铁5号线惠新西街北口站C东南口步行880m, 10081, 安苑路安苑东里一区4号楼1层（桔子酒店旁）, 11:00-14:00、 17:00-24:00, 2025-11-13T13:38:33+08:00
G9VwkrHORDQkQMpr, 胖妹面庄(香饵胡同店), 豌杂面、 狼牙土豆、 经典混合面, https://www.dianping.com/shop/G9VwkrHORDQkQMpr, 4.3, "口味:4.3 环境:4.2 服务:4.3", ¥51/人, 北新桥/簋街, 面馆, 距地铁5号线北新桥站C东南口步行210m, 31777, 东四北大街69号, 11:00-14:30、 17:00-21:00, 2025-11-13T13:38:50+08:00
